"CaseId","Status","ExactRefactorMatch","RefactorGeneratedTokens","RefactorFinishReason","RefactorDraftedTokens","RefactorAcceptedTokens","RefactorAcceptancePercent","ToolFlowPassed"
"fp8-q2--baseline","ok","True","551","stop","0","0","0","True"
"fp8-q2--q4kv-mtp","ok","True","551","stop","368","367","99,7","True"
"fp8-q2--q4kv-ngram","ok","True","551","stop","624","513","82,2","True"
"fp8-q2--q4kv","ok","True","551","stop","0","0","0","True"
"fp8-q4--baseline","ok","True","551","stop","0","0","0","True"
"fp8-q4--q4kv-mtp","ok","True","551","stop","368","368","100","True"
"fp8-q4--q4kv-ngram","ok","True","551","stop","624","513","82,2","True"
"fp8-q4--q4kv","ok","True","551","stop","0","0","0","True"
"lowgpu-iq3--baseline","ok","True","551","stop","0","0","0","True"
"lowgpu-iq3--q4kv-ngram","ok","True","551","stop","624","513","82,2","True"
"lowgpu-iq3--q4kv","ok","True","551","stop","0","0","0","True"
"unleashed-q2--baseline","ok","True","556","stop","0","0","0","True"
"unleashed-q2--q4kv-mtp","ok","True","556","stop","370","370","100","True"
"unleashed-q2--q4kv-ngram","ok","True","556","stop","576","514","89,2","True"
"unleashed-q2--q4kv","ok","True","556","stop","0","0","0","True"
