"Model","ModelId","Profile","ProfileId","Status","LoadSeconds","LoadedVramMiB","PeakVramMiB","CodingPromptTps","CodingGenerationTps","RefactorPromptTps","RefactorGenerationTps","RefactorDrafted","RefactorAccepted","RefactorAcceptancePercent","RefactorStaticCheck","ToolFlowPassed"
"FP8-derived Q2_K","fp8-q2","Baseline Q8 KV","baseline","ok","35,65","11417","11430","287,22","27,75","631,74","27,43","0","0","0","True","True"
"FP8-derived Q2_K","fp8-q2","Q4 KV + smaller batches","q4kv","ok","4,61","11490","11504","423,5","38","709,91","37,78","0","0","0","True","True"
"FP8-derived Q2_K","fp8-q2","Q4 KV + ngram-simple","q4kv-ngram","ok","4,56","11491","11505","422,34","37,84","712,87","230,14","624","513","82,2","True","True"
"FP8-derived Q2_K","fp8-q2","Q4 KV + MTP-2","q4kv-mtp","ok","4,53","11786","11802","330,69","51,33","548,47","53,22","368","367","99,7","True","True"
"FP8-derived Q4_K_M","fp8-q4","Baseline Q8 KV","baseline","ok","52,83","10711","10716","80,35","6,37","266,89","6,36","0","0","0","True","True"
"FP8-derived Q4_K_M","fp8-q4","Q4 KV + smaller batches","q4kv","ok","8,1","11144","11175","93,22","6,98","157,81","6,98","0","0","0","True","True"
"FP8-derived Q4_K_M","fp8-q4","Q4 KV + ngram-simple","q4kv-ngram","ok","8,11","11143","11184","92,16","6,94","153,69","39,41","624","513","82,2","True","True"
"FP8-derived Q4_K_M","fp8-q4","Q4 KV + MTP-2","q4kv-mtp","ok","8,62","11092","11092","77,53","14,32","130,81","14,24","368","368","100","True","True"
"Unleashed UD-Q2_K_XL","unleashed-q2","Baseline Q8 KV","baseline","ok","30,45","10495","10715","249,48","40,63","882,04","40,61","0","0","0","True","True"
"Unleashed UD-Q2_K_XL","unleashed-q2","Q4 KV + smaller batches","q4kv","ok","4,04","10167","10384","366,14","40,55","849","40,45","0","0","0","True","True"
"Unleashed UD-Q2_K_XL","unleashed-q2","Q4 KV + ngram-simple","q4kv-ngram","ok","4,06","10165","10396","358,99","39,49","846,52","247,31","576","514","89,2","True","True"
"Unleashed UD-Q2_K_XL","unleashed-q2","Q4 KV + MTP-2","q4kv-mtp","ok","4,08","10986","11104","329,63","74,27","756,09","77,67","370","370","100","True","True"
"OrcaRouter LowGPU IQ3XXXS","lowgpu-iq3","Baseline Q8 KV","baseline","ok","29,98","10271","10571","311,08","41,28","822,65","41,22","0","0","0","True","True"
"OrcaRouter LowGPU IQ3XXXS","lowgpu-iq3","Q4 KV + smaller batches","q4kv","ok","4,07","9947","10225","328,68","41,24","768,1","41,1","0","0","0","True","True"
"OrcaRouter LowGPU IQ3XXXS","lowgpu-iq3","Q4 KV + ngram-simple","q4kv-ngram","ok","4,06","9947","10231","327,13","39,81","767,55","235,12","624","513","82,2","True","True"
